اسم الصندوق,الرمز,عدد الوحدات (عددالاسهم),سعر السوق ,إجمالي القيمة بالدولار,إجمالي القيمة بالريال 
يغطي الأسهم الامريكية الكبرى (S&P500),SPUS,257,52٫19,$13٬412٫83,SAR50٬298٫11
يغطي قطاع التكنلوجيا العالمي (بمافيه أمريكيا )	,SPTE,109,38٫13,$4٬156٫17,SAR15٬585٫64
(الأسواق المتقدمة والناشئة بإستثناء أمريكا),SPWO,0,30,$0٫00,SAR0٫00
البيتكوين,IBIT,41,50٫45,$2٬068٫45,SAR7٬756٫69
ذهب ,GLDM,0,101٫78,$0٫00,SAR0٫00
صكوك,Deeds,51,,$0٫00,SAR58٬467٫00
صندوق مبادر للقروض,Loan Fund,,,,SAR40٬093٫00
وديعة,,,,,SAR22٬508٫00
إجمالي المحفظة,,,,$19٬637٫45,SAR194٬708٫44
